1838,CdS,2.52
1839,AlSb,1.7
1840,Li0.2Na0.8AsSe2,1.57
1841,Mg2Sn,0.35
1842,Ba5V3O12F,3.85
1843,LiI,6
1844,NaCd4P3,1.1
1845,AlSb,2.22
1846,AlSb,1.49
1847,EuSb2Se4,0.95
1848,Pb0.93TeIn0.07,0.32
1849,ZnMoSb2O7,3.3
1850,AsSeI,1.76
1851,InS,2.06
1852,Pb0.999Sn0.001Te,0.21
1853,In0.94As0.94Cd0.06Te0.06,0.68
1854,TlN,1.4
1855,NaInI4O12,4.25
1856,ZnSb,1.09
1857,AgAlO2,3.6
1858,KF,10.3
1859,PbSe0.9S0.1,0.27
1860,AgAlTe2,1.9
1861,Ba2AgInS4,2.32
1862,Sb2Se3,1
1863,PbTe,0.29
1864,PtPAs,0.4
1865,Tl2CeP2S7,2.4
1866,LiPbSb3S6,1.6
1867,Cd2V2Te2O11,2.48
1868,TlCl,3.8
1869,As2S3,2.45
1870,SnGa4Se7,2.55
1871,Ho2O3,5.42
1872,Cd3P2,0.59
1873,Ba2GaSbTe5,1.66
1874,Hg0.7Cd0.3Se,1.1
1875,PbSe,0.26
1876,PbS,0.6
1877,PbI2,2.54
1878,GaAs,1.48
1879,InP,1.41
1880,In0.9Al0.1P,1.5
1881,Na3Sn2F6Cl,3.88
1882,SnS,1.22
1883,CdS,2.53
1884,ZnO,3.35
1885,K5In3P6Se19,2.2
1886,SnI4,2.38
1887,H2Ti6O13,3.4
1888,Li2B12Si2,2.27
1889,PbSb2Se4,1.8
1890,PdS,0.5
1891,Cd0.9Te0.9Al0.1Sb0.1,1.36
1892,KAuI4O12,2.75
1893,CsCl,8.1
1894,Ba3Tb2P4S16,3.37
1895,KBiSiS4,2.25
1896,Ba4Si3Se9Cl2,1.76
1897,Al2Te3,2.2
1898,FeIn2Se4,1.15
1899,CsNbSe2O7,4.2
1900,FeSc2,0.77
1901,Ga0.99Sb0.99Cd0.01Te0.01,0.72
1902,Cs3Nb2AsSe11,1.35
1903,K3Ta2AsS11,2.21
1904,GaSb,0.81
1905,CuGaGeSe4,1.38
1906,Ba5Ga6SnP12,1.21
1907,DyIn3S6,1.22
1908,InP,1.41
1909,Pb4V2Se6O21,3.37
1910,EuGa2S4,2.25
1911,PbMnIn2S5,1.45
1912,ZnTe,2.28
1913,PbCdP4O12,4.85
1914,Mg2Pb,0.15
1915,Na2CdSnS4,2.52
1916,LiCsCO3,6.19
1917,ThOSe,1.65
1918,PbTe,0.19
1919,SbI3,2.22
1920,CdIn2S4,2
1921,HgSe,0.24
1922,Tl3CuNb2Se12,0.8
1923,YH2NO5,4.83
1924,Mg3P2,1.4
1925,Zn0.4Hg0.6Se,0.42
1926,InSb,0.27
1927,Rb3Sb2I9,1.94
1928,In0.6Al0.4P,2.12
1929,Ba4Sb3S8Cl,2.09
1930,Li2CdGe,0.99
1931,ZnSiP2,2.07
1932,Bi2O3,2.91
1933,CdTe,1.45
1934,In6Se7,0.72
1935,BaTiO3,3.04
1936,NaInS2,1.9
1937,Bi14.7In11.3S38,1.45
1938,CdGa2Se4,2.48
1939,Bi2S3,1.45
1940,Cs2CdP2Se6,2.63
1941,EuTe,1.96
1942,Pb0.93TeTl0.07,0.54
1943,ErBiW2O9,3.26
1944,Cu2Se,1.29
1945,LiAsSe2,1.5
1946,LiGaGe2Se6,2.64
1947,Eu3In2P4,0.45
1948,GdAs,0.63
1949,CsGaS3,3
1950,AsNMg3,1.33
1951,Ba2InErSe5,2.29
1952,CsPSe6,1.9
1953,Sb2Se3,1.11
1954,BiSCl,1.89
1955,Hg0.63Cd0.37Te,0.35
1956,CdS0.8Se0.2,2.23
1957,ZnTe,2.35
1958,Gd2S3,2.55
1959,Na2TeS3,2.35
1960,AgPbBiS3,1.2
1961,Hg4As2ZrCl6,2.48
1962,BaBiO2Cl,3.71
1963,CdSnAs2,0.4
1964,CdGeAs2,0.85
1965,RbYbZnSe3,2.07
1966,CdGeAs2,0.72
1967,Cd4As2Br3,1.78
1968,HgIn2Te4,0.86
1969,NaInTe2,1.6
1970,FePS,0.25
1971,PtSb2,0.06
1972,Tm2O3,4.53
1973,PtAs2,0.8
1974,K1.46Sn3.09Bi7.45Se15,0.39
1975,CdSiAs2,1.52
1976,NaBa2Cu3S5,0.45
1977,GaN,3.39
1978,RuS2,1.8
1979,KEuAsS4,1.89
1980,Pb0.61Ge0.39Te,0.56
1981,TlSe,0.65
1982,Cu3YbSe3,0.2
1983,Pb0.96TeTl0.04,0.57
1984,Pr2Se3,1.9
1985,Li2FeSnS4,1.86
1986,InAs,0.47
1987,PbGa2Se4,1.83
1988,Mg2Pb,0.04
1989,Ba2B6O11,5.17
1990,As2B12,1.51
1991,TlAsS2,2.22
1992,InSe,1.25
1993,PbO2,1.5
1994,SeS,1.9
1995,Pb0.99TeGa0.01,0.42
1996,BaRh2Ge4Se6,1.09
1997,CsGeI3,1.6
1998,RbBiS2,1.36
1999,Rb1.45Pb3.1Sb7.45Se15,0.45
2000,SmTe,0.62
2001,MgSiN2,4.05
2002,CoSb3,0.5
2003,MgTe,3.6
2004,Ba2InDySe5,2.27
2005,Ba4AgInSe6,2.41
2006,KH3Se2O6,4.88
2007,ZnTe,2.3
2008,PdPSe,0.15
2009,B2O3,4.89
2010,BiFSeO3,3.83
2011,KCl,8.5
2012,Pb0.9Sn0.1Te,0.16
2013,ZnIn2Se4,1.82
2014,Ag2ZnSiS4,3.28
2015,Cd3As2,0.43
2016,Bi2Te3,0.25
2017,CdSe,1.84
2018,MoO3,3.66
2019,Zn2In2S5,2.65
2020,K8Zr6Se30,1.81
2021,PbO2,1.7
2022,Si2Te3,2.18
2023,InP,1.35
2024,LaVI5O16,3.58
2025,KBiS2,0.9
2026,CdSe,1.7
2027,BAs,1.45
2028,CdSb2Se3Br2,1.4
2029,La2O2FeSe2,0.7
2030,BaZn2As2,0.23
2031,ZnSnAs2,0.67
2032,YbSb2S4,1.12
2033,HgTe,0.15
2034,CdTe,1.56
2035,AgCl,5.13
2036,CuInSe2,1.01
2037,TlSbSe2,0.82
2038,GeS,1.59
2039,Th2GeSe2,1.98
2040,Rb2Cu2Sb2S5,1.6
2041,CuGaS2,2.43
2042,Ba1.88Ta15O32,0.13
2043,Cs6Na2Zn4Ge42,0.3
2044,Cu0.35Ga1.65S2.65,2.53
2045,Li4.5Ga0.5TeO6,4.99
2046,KGaSnSe4,1.73
2047,AlN,6.09
2048,Cu0.95In1.05Se2.05,1.07
2049,Cu2Te,1.08
2050,CdIn2Se4,1.45
2051,Cu2SnSe3,0.83
2052,Hg0.8Zn0.2Te,0.08
2053,BaSe,3.6
2054,Zn0.3S0.3Ga0.7P0.7,2.3
2055,TeI4,1.1
2056,KSbS2O8,4.64
2057,CdS0.99Se0.01,2.4
2058,RbCl,8.29
2059,Ba2InNdTe5,1.37
2060,Ba2GaSmSe5,2.27
2061,ZnI2,4.53
2062,K2CuNbSe4,2.14
2063,InBi2S4Br,1.5
2064,Ga0.01P0.01Zn0.99Se0.99,2.6
2065,TiS3,0.9
2066,ZnSe,2.8
2067,Hg2I2Te2,1.85
2068,SbSI,1.92
2069,Ba3Ta2Se9,1.6
2070,ZnSnAs2,0.66
2071,Cs2MgSn3Se8,1.92
2072,Ce10OSe14,1.93
2073,K2P2Se6,2.08
2074,EuSb4Te7,0.54
2075,CsAgSb4S7,2.04
2076,WSe2,1.49
2077,TlSe,0.79
2078,Ca3Sb2,1.4
2079,TlBr,3.07
2080,Na8CsB21O36,4.67
2081,Cu2P2S6,2.2
2082,Ag3AsS3,2.2
2083,SrTe,3.77
2084,TlBr,2.64
2085,ZrNiSb,0.55
2086,Mg2Sn,0.34
2087,PtS2,0.75
2088,CeFMoO4,2.52
2089,InSb,0.24
2090,Rh0.67S2,1.5
2091,Nd4Ge3S12,2.62
2092,GdB66,1.27
2093,InP,1.42
2094,CuNb3O8,1.47
2095,BaGa2SnSe6,1.95
2096,Pb0.92Sn0.08Te,0.13
2097,Cs2HgI2Cl2,2.15
2098,PbTe,0.25
2099,ZnS,3.66
2100,Ge0.891Si0.109,1.13
2101,Ba2GaSbSe5,2.51
2102,La4InSbSe9,1.76
2103,AgAlSe2,2.55
2104,Pb0.999Sn0.001Te,0.23
2105,BaF2,9.2
2106,InAs,0.42
2107,Ge0.8Si0.2,0.86
2108,GaSe,2.13
2109,InS,1.8
2110,Ga0.8In0.2As,1.07
2111,YbS,1.33
2112,TlCu3Lu2Se5,2.12
2113,GaTe,1.67
2114,LiF,11.7
2115,Cu0.99Ga1.01Se2.01,1.59
2116,Gd3.04Sc0.96S6,1.5
2117,Pb0.999TeGa0.001,0.3
2118,CdTe,1.58
2119,CdSiP2,2.25
2120,Ba2ScTaO6,4.19
2121,ZnSnSb2,0.4
2122,La2MnNiO6,1.2
2123,ZnIn2S4,2.7
2124,TlPS2,1.6
2125,Mg2Sn,0.31
2126,Li2ZnSnSe4,1.87
2127,ZnAs2,1.3
2128,TlInSe2,1.14
2129,ZnSnSb2,0.3
2130,InP,1.35
2131,RbH3Se2O6,4.84
2132,Pb0.83Sn0.17Se,0.04
2133,CdTe,1.6
2134,Ga2Te3,1.32
2135,Ba2InErTe5,1.35
2136,CuI,3.12
2137,SnS0.8Se0.2,1.07
2138,Ga2GeTe3,0.84
2139,Ge0.92Si0.08,0.72
2140,Ge0.93Si0.07,1.04
2141,Er2Se3,1.66
2142,Bi2I4O13,3.3
2143,NaGe3P3,2.06
2144,K2ZnSn2Se6,1.71
2145,PtSe2,0.1
2146,GeS,1.74
2147,Cu2ZnSnTe4,1.39
2148,AlVTe2O8,2.9
2149,PtP2,0.8
2150,AgAlTe2,1.8
2151,Bi3In4S10,1.42
2152,NaI,6
2153,AlP,2.51
2154,Ag2.7Ba6Sn4.3S16,1.38
2155,SnGeS3,2.23
2156,CaSm2S4,2.05
2157,K8Al8Si38,1.4
2158,BiSI,1.56
2159,Ce2YbCuS5,1.37
2160,Cu2O,2.59
2161,PbCl2,3.82
2162,CdGa2Se4,2.2
2163,BaClBF4,6.89
2164,Sn2S,0.95
2165,CdSb,0.43
2166,Pb0.995TeTl0.005,0.48
2167,GaAs0.99Sb0.01,0.7
2168,Cs2Te,3.5
2169,Th2Se5,0.37
2170,Fe2TiSi,0.4
2171,Hg0.1Zn0.9Te,1.74
2172,PbGeS3,2.4
2173,Na2KSb,1
2174,Mn2.04Gd1.47In0.49S5,1.75
2175,KAg2SbS4,2.2
2176,TlCl,3.23
2177,InSe,1.29
2178,Cs2CuNbSe4,2.19
2179,ZnIn2S4,2.9
2180,GaSb,0.67
2181,CuAlSe2,2.5
2182,La3CuGaSe7,1.36
2183,Cu2CdGeSe4,1.2
2184,Ba8Al10B12O41,3.1
2185,Bi12SiO20,3.2
2186,Ga2Te3O9,4.15
2187,HfS3,2.8
2188,Pb0.95Sn0.05Se,0.12
2189,InP,1.35
2190,KInSe2,2.68
2191,ZnO,3.3
2192,BiZn2VO6,2.4
2193,Hg0.3Cd0.7Se,0.55
2194,TaGaSe2,2.03
2195,KFe2BiO5,1.76
2196,Ga2Te3,1.33
2197,Cs2Cd3B16O28,4.76
2198,TlInTe2,0.68
2199,CuCl,3.22
2200,HfS2,2.9
2201,Fe4I3O24H15,2.3
2202,Cu0.35Ga1.65Se2.65,1.81
2203,KIO3,3.87
2204,K2AgSnSe4,1.8
2205,SmTe,0.35
2206,SmB66,0.8
2207,Ag3AsSe3,2.1
2208,Pr2Te3,1.16
2209,RbCl,8.3
2210,CdSe,1.75
2211,CsSbS2,2.8
2212,GaAs,1.4
2213,CdSe,1.74
2214,Li6Al2Te8O22,3.63
2215,Rb3Bi2Br9,2.62
2216,SnS,1.25
2217,Pr10OSe14,1.89
2218,EuS,1.65
2219,CuInSe2,0.92
2220,CuGaSe2,1.68
2221,Ag2SnS3,1.37
2222,BaTe,3.4
2223,Pb2B3O7.5H2,4.42
2224,YbSb2Te4,0.34
2225,Cs2Zn3Se4O12,4.3
2226,CeScO3,3.2
2227,SnSe,0.95
2228,Ag3AsS3,2.1
2229,Cu3AsSe4,0.88
2230,AlSb,1.8
2231,ZnTe,2.39
2232,Tl2TeI6,1.47
2233,AlB12,2.2
2234,Zn0.9Hg0.1Se,1.75
2235,ZnIn2S4,2.65
2236,Cd4As2Br3,1.93
2237,PbBr2,3.2
2238,AlB12,1.9
2239,Rh0.67Se2,0.7
2240,Ge0.001Si0.999,1.09
2241,Ga0.95Sb0.95Zn0.05Te0.05,0.85
2242,LiPbB9O15,4.75
2243,La2V2IO9,3.63
2244,CuCl,3.4
2245,Sn2SbS2I3,1.5
2246,Cd3P2,0.56
2247,Ba2B6O9(OH)4,6.53
2248,Nd2Se3,1.7
2249,Nd4InSbSe9,1.57
2250,Sm2O3,5
2251,ZnS,3.58
2252,TlInSe2,1.2
2253,YbTe,1.8
2254,RbZn4In5Se12,1.76
2255,TlInSe2,1.4
2256,Ga2Se2O7,4.61
2257,DyTe1.7,0.35
2258,Na2CdGe2S6,3.21
2259,NH6PO4,6.8
2260,ZnS,3.7
2261,AgGaS2,2.73
2262,InSb2Se4Br,1.35
2263,CdTeO3,3.55
2264,Cu2GeS3,0.53
2265,Sm4InSbS9,2.13
2266,Cs4Pb4Ge5S16,1.95
2267,HgGa2S4,2.79
2268,Cd3As2,0.17
2269,CsSmCdSe3,2.47
2270,CaF2,9.92
2271,ErN,2.4
2272,Hg0.25Zn0.75Te,1.25
2273,RbMoPO6,2.96
2274,RuPS,1.4
2275,CuCl,3.2
2276,NaI,5.93
2277,InAs,0.41
2278,GaSb,0.81
2279,SrSeO4,4.75
2280,SnSe,0.9
2281,TlCr5Se8,0.67
2282,TlInGeS4,2.3
2283,La3Sb0.33SiSe7,1.75
2284,CuInTe2,0.8
2285,K2Cu2ThS4,2.17
2286,K2Gd2Ti3O10,3.3
2287,Hg0.8Cd0.2Se,1.1
2288,As2Se3,1.8
2289,K2ZnSn3S8,2.55
2290,InP,1.29
2291,CuIn3S5,1.2
2292,ZnO,3.48
2293,Ga2S3,2.84
2294,GaSb,0.8
2295,CdP4,1
2296,TlCr5SSe7,0.71
2297,GaSe,2.01
2298,Sn2BiS2I3,0.9
2299,Cu0.35In1.65Se2.65,1.19
2300,Ba4Ge3S9Cl2,2.91
2301,CdSe,1.82
2302,BiSeBr,1.96
2303,Zn0.85S0.85Ga0.15P0.15,2.9
2304,NiS2,0.64
2305,Na8Eu2Ge4S12,2.15
2306,CaGd2S4,2.55
2307,Ho2S3,0.5
2308,K3Cu3Th2S7,2.49
2309,CuGaS2,2.5
2310,K4Nb2S11,2.35
2311,MoTe2,1.2
2312,IrSe2,1
2313,CdS,2.39
2314,K2ZnSn3S8,2.15
2315,Ga2Se3,2.05
2316,TlSe,0.74
2317,Ir2Sn3Se3,0.43
2318,Zn0.5Cd0.5Se,3
2319,CuZr1.86S4,1.26
2320,ZnS,3.63
2321,Hg0.8Cd0.2Se,1.3
2322,BaHgSe2,1.56
2323,La3GaGe0.5S7,2.54
2324,CeF3,4.85
2325,Cu3GdSe3,0.14
2326,Ce2O2FeSe2,0.64
2327,Dy4GaSbS9,2.58
2328,GaSe,2.12
2329,Ru2Si3,0.7
2330,CdP2,2.13
2331,AgIn3Te5,0.68
2332,CdSb,0.48
2333,InP2S4,2.75
2334,Zn0.55S0.55Ga0.45P0.45,2.4
2335,PbSeO4,4.3
2336,ZnSnP2,1.45
2337,Ba3SnSb2Se8,0.97
2338,LiAlB14,2.05
2339,Ga0.2In0.8As,0.5
2340,AgS,1.4
2341,Tb2Mo3O12,1.41
2342,LaB6,4.1
2343,NaAlGeS4,3.6
2344,CdSb,0.54
2345,Ag2NbP2S8,2.02
2346,LaGaO3,4.4
2347,Na0.5Pb1.75GeSe4,1.6
2348,As2S3,2.5
2349,InP,1.25
2350,CuGaS2,2.38
2351,InAs,0.36
2352,CaO,7
2353,Ba4CuGa5S12,2.82
2354,CsCdBO3,2.58
2355,Ga0.3P0.3Zn0.7Se0.7,2.15
2356,SmSnTe2,0.52
2357,ThO2,3.5
2358,BaTiO3,2.96
2359,RuAsS,1.2
2360,SbSI,1.85
2361,CeIn3S6,1.11
2362,NiP2,0.5
2363,AgTlSe2,0.72
2364,GaS,2.5
2365,CdS,2.41
2366,CuCd2InTe4,0.85
2367,GeAs2,1.1
2368,GeSe,1.1
2369,KBiSe2,0.61
2370,CdSe,1.83
2371,AgSbS2,1.99
2372,GeS,1.74
2373,SrSe,4.42
2374,PdP2,0.65
2375,Ba4Ga4SnSe12,2.16
2376,Na2GeIn2Se6,2.47
2377,Ba2In2S5,2.47
2378,BaCuSbS3,2
2379,Na2ZnGe2S6,3.25
2380,InSe,1.17
2381,Sb2S3,1.67
2382,GeSe2,2.49
2383,K3Cr2P3S12,1.35
2384,CdSe,1.9
2385,YClMoO4,3.82
2386,ReSi2,0.12
2387,As2S3,2.56
2388,Ag2MoI4O14,3.06
2389,Cd3As2,0.53
2390,HoN,1.88
2391,GeS,1.77
2392,CdSnAs2,0.5
2393,In0.99As0.99Ga0.01P0.01,0.3
2394,SmP,1.09
2395,CaF2,10
2396,CuCl,3.21
2397,Zn3P2S8,3.07
2398,GaP,2.75
2399,Ga0.58As0.58Zn0.42Se0.42,1.67
2400,CsYCdSe3,2.58
2401,In2GeTe3,0.7
2402,PdPS,1.38
2403,Na2Ga2SnS6,2.2
2404,Fe2P3B1O12,3.52
2405,ReO3,2.3
2406,Pb2BiS2I3,1.6
2407,Li3AlP2,2.75
2408,Cs2Sn3Sb2S10,2.34
2409,TlHg6S4Br5,3.03
2410,Rb3Sb,1
2411,Ce2YbCuSe5,1.05
2412,La3CuGeSe7,2
2413,RbYTe2O6,3.6
2414,CuInTe2,0.95
2415,LiIO3,4.37
2416,CsCd4Ga5Se12,2.21
2417,In0.5P0.5Ga0.5As0.5,1.75
2418,ZnS,3.64
2419,Cd6P7,0.85
2420,Ag2S,1.03
2421,Sb2Se3,1.1
2422,HgS,2.1
2423,CdGa2Se4,2.25
2424,Cs5BiP4Se12,1.85
2425,CdIO3Cl,4.3
2426,Eu4Te7,0.31
2427,V3As2O9,0.76
2428,GdIn3S6,1.13
2429,In0.8P0.8Ga0.2As0.2,1.4
2430,Li8GeN4,2.61
2431,NaNbSe2O7,3.65
2432,CdS,2.52
2433,Pb0.85Sn0.15Te,0.1
2434,AlSb,1.6
2435,TlBr,3.02
2436,AgSbSe2,0.62
2437,BiI3,1.81
2438,EuVO4,3.44
2439,CsRbP2Se8,2.41
2440,Na2In2SiS6,3.27
2441,NaScSe2O6,5.5
2442,MoTe2,1.1
2443,As2Se3,1.73
2444,CdP4,0.91
2445,Ba6Al4B14O33,3.44
2446,Mg3B50C8,2.7
2447,InP,1.45
2448,BaCdSnS4,2.3
2449,ZnSe,2.7
2450,PbI2,2.56
2451,Zn0.75Cd0.25Se,3.2
2452,Li4Rb3B7O14,6.53
2453,AgInTe2,0.93
2454,AsTe,0.74
2455,Pb2O3,1.67
2456,K10Sn3P8Se24,1.82
2457,Sm2ZrSe5,1.41
2458,Ba5Ga2Se8,2.51
2459,Ce15B8N25,3.5
2460,In0.1As0.1Ga0.9P0.9,2.25
2461,Sn0.5GaZn3.5O6,2.99
2462,Cu2Se,1.3
2463,CuIn5S8,1.34
2464,BaGa2GeSe6,2.81
2465,Ga0.25Al0.75As,2.42
2466,Cs2Cu3DyTe4,1.38
2467,LiI,5.9
2468,Rb1.54Cd1.54Bi2.46S6,1.33
2469,Cu2CdSnS4,1.4
2470,CuGaSe2,1.36
2471,Pb2V3Se5O18,3.14
2472,Li2In2GeSe6,2.3
2473,GaP,2.78
2474,ZnTe,2.23
2475,Fe2Te3,0.34
2476,LiIO3,4
2477,SrTiO3,4.1
2478,CuGaInS3.5,1.84
2479,KAg2SbS3,2.1
2480,Tl2Hg3Se4,1.57
2481,RbSbS2,2.13
2482,La2YbCuSe5,1.15
2483,In2S3,2
2484,NaAsS2,2.33
2485,Ag0.4Cd0.5In2.2Te4,0.19
2486,Cs2Hg3S4,2.8
2487,GaSe,2.13
2488,ZnO,3.44
2489,BiSeI,1.32
2490,MgSe,5.63
2491,CdIn2Te4,1.44
2492,In4S5,0.9
2493,Gd2Mn4S7,1.44
2494,YbClWO4,4.23
2495,Ba3Ta5O14N,2.8
2496,PbCdP4O12,4.87
2497,Sr2SmTaO6,3.38
2498,CsYbZnSe3,1.97
2499,LiGaSe2,3.34
2500,HfS3,3.1
2501,Hg4As2HfCl6,2.47
2502,CdSb,0.58
2503,KBaSbSe3,2.04
2504,BiSCl,1.93
2505,RbMn4In5Se12,1.76
2506,MnSe,2.5
2507,Cu0.15In1.85Se2.85,1.32
2508,KUO3Cl,2.37
2509,CsTb9Cd4Se18,1.95
2510,GeAs,1.65
2511,Cd3MoTe2O10,3.81
2512,ZnSnAs2,0.6
2513,ZnIn2S4,2.99
2514,GaSb,0.81
2515,Pb0.7Ge0.3Se,0.4
2516,CsInGeS4,2.4
2517,BiTeI,0.46
2518,GaTe,1.5
2519,Cs2Cu2Sb2S5,1.6
2520,Pb2H2P2O6,3.97
2521,Na7.36Ga7.24Sn4.78Se24,1.5
2522,GaTe,1.7
2523,CeN,0.7
2524,KYTe2O6,3.8
2525,Rb4Ti3S14,1.59
2526,BaGa2S4,4.13
2527,CsCd4In5Se12,1.62
2528,La2MoO5,1
2529,BaZnSiSe4,2.71
2530,Pr4Te7,0.46
2531,TeO2,3
2532,CdGa2S4,3.4
2533,KV2I3O13,2.3
2534,Cd3P2,0.55
2535,GaSe,2.2
2536,CaMg2N2,3.25
2537,MgSe,6
2538,Pr2.48Tb0.52Ga1.67S7,2.61
2539,Zn3In2S6,3.05
2540,Pb2Bi5.9La2.1S14,1
2541,TlAsSe2,1.4
2542,CsYbZnSe3,2.1
2543,Cd3P2,0.52
2544,PbSbO2I,2.48
2545,Ba8Ga10Si36,0.31
2546,Bi2O3,2.8
2547,Pb0.83Sn0.17Te,0.15
2548,KNb3Se2O12,3.46
2549,ZnO,3.49
2550,Tl3AsSe3,1.3
2551,CdGa2Se4,2.1
2552,CeMn0.5OSe,2.01
2553,InSe,1.35
2554,As2S3,2.36
2555,ThOS,2.22
2556,Tl4Nb2S11,1.8
2557,SmTe,0.22
2558,Hg4As2.5InBr3.5,1.71
2559,Li4.5Fe0.5TeO6,3.25
2560,Bi25FeO39,2.8
2561,Hg0.2Zn0.8Te,1.46
2562,CdO,2.3
2563,Bi2Te0.1Se2.9,0.78
2564,PbSbBS4,1.8
2565,ZnGa2Se4,1.72
2566,CuBiP2Se6,1.2
2567,Pb10B3O13Br3,3.25
2568,AgGaS2,2.62
2569,AgBiP2S6,1.7
2570,SrThP2S8,3.02
2571,UO2,2.18
2572,CuGaSe2,1.7
2573,DyB6,3.3
2574,K1.25Pb3.5Bi7.25Se15,0.53
2575,K2Cd2Te3,1.93
2576,Gd4GaSbS9,2.41
2577,NdCuOTe,2.26
2578,CsBiS2,1.46
2579,CdSiAs2,1.47
2580,ZnS,3.88
2581,OsTe2,0.3
2582,PbBiBO4,3.2
2583,Rb2Hg3Sn2S8,2.48
2584,LiBi4Ta3O12,3.5
2585,BaGa2SiS6,3.75
2586,BaF2,9.06
2587,BaTiO3,3.13
2588,AlB12,2.5
2589,RbAg2TeS6,2.04
2590,Ba3P3O10Cl,6.89
2591,Sm2Mn3Sb4S12,1.5
2592,CdIn2S4,2.6
2593,CdS0.35Se0.65,1.93
2594,CoAs3,0.4
2595,GeSe2O6,5.27
2596,RbPSe6,2.18
2597,Cu3ErTe3,0.24
2598,KTaO3,3.5
2599,SnS,1.09
2600,CdS,2.5
2601,In0.9As0.9Cd0.1Te0.1,0.69
2602,CsZn4In5Se12,1.61
2603,Na2KSb,1.1
2604,Pb0.9Sn0.1Se,0.12
2605,RbF,10.4
2606,InP,1.26
2607,PbI2,2.32
2608,SbSeI,1.63
2609,LiZnN,1.91
2610,Zn0.75Cd0.25Se,3.3
2611,CsBi3Se5,0.43
2612,Cu3DySe3,0.2
2613,Bi12PO20,3.25
2614,TlInSe2,1.12
2615,CdIn2Te4,1.12
2616,AgGaSe2,1.8
2617,LiNbO3,4.3
2618,CuCl,3.31
2619,CuCdInSe3,1.66
2620,RuSbSe,0.9
2621,Co2Te3O8,3.6
2622,Li4SrB2O6,6.67
2623,As2S3,2.64
2624,K4GeSe4,0.64
2625,CdCl2,5.7
2626,AlB12,1.96
2627,Na4MgGe2Se6,2.53
2628,AgI,2.82
2629,TaON,2.4
2630,Ba3BSbSe6,1.89
2631,EuLu2Se4,1.7
2632,GaP,2.74
2633,As2S3,2.48
2634,Na4MgSi2Se6,2.85
2635,CaSe,4.87
2636,CsCeHgSe3,1.94
2637,PbGa2GeSe6,1.96
2638,In0.96As0.96Cd0.04Te0.04,0.69
2639,CsCu2AsS3,2.3
2640,Sb2Se3,1.06
2641,SrLa2S4,2.85
2642,SrTiO3,3
2643,InP2S4,2.42
2644,Ga0.8Sb0.8Cd0.2Te0.2,0.8
2645,EuSb2S4,1.2
2646,BaGa4Se7,2.64
2647,KRbBi8Se13,0.64
2648,In0.4Al0.6P,2.3
2649,K8Ga8Si38,1.18
2650,CuFeSe2,0.16
2651,Cd3As2,0.13
2652,La3Te4,0.43
2653,Rh2S3,0.8
2654,Ga1.01Sb0.99Te0.03,0.68
2655,In0.4P0.4Ga0.6As0.6,1.74
2656,GaSe,2.13
2657,GaAs,1.52
2658,Sb2Te3,0.21
2659,Er2Mo3O12,1.04
2660,TlSe,0.67
2661,GaSe,2.17
2662,Ge0.1Si0.9,1.04
2663,Y2S3,2.9
2664,Ba3ZnTa2O9,4.32
2665,CuBS2,3.61
2666,Zn0.4Hg0.6Se,0.5
2667,Ta2O5,4.2
2668,Pb0.75Sn0.25Se,0.04
2669,Cu2ZnGeS4,2.1
2670,Cu0.2In1.8Se2.8,1.26
2671,AgS,1
2672,OsP2,1.2
2673,RbZrPSe6,2
2674,Bi2S3,1.2
2675,Zn3P2,1.15
2676,GeO2,5.63
2677,CdSe,1.73
2678,Ag2SnSe3,0.81
2679,NdTe2,0.48
2680,NaSbS2,1.8
2681,Cu2GeSe3,1.1
2682,Pb2GeSe4O12,4.1
2683,CsSmZnSe3,2.43
2684,Sb3O4I,2.61
2685,NaBaB5O9,4.78
2686,Bi2SeI2O11,3.7
2687,CdP2,2.15
2688,Dy3Al0.5SiS7,2.22
2689,TlCr5S4Se4,0.85
2690,Nd2ZrS5,1.83
2691,MnTe,1.35
2692,LiInSe2,2.83
2693,Ga1.005Sb0.995Te0.015,0.68
2694,Ba3InS4Cl,3.42
2695,EuVO4,3.26
2696,CuGa3Se5,1.81
2697,Bi5O7I,2.76
2698,CsLaHgSe3,2.46
2699,Mg2Pb,0.1
2700,CdSe,1.77
2701,NaI,5.89
2702,NaAsSe2,1.71
2703,TlSe,0.75
2704,ReSi2,0.2
2705,CdTe,1.6
2706,Zn0.99Cd0.01Se,3.7
2707,NaIn3S5,2.18
2708,TiC0.9,0.3
2709,KPbB5O9,3.1
2710,GaTe,1.63
2711,In2Te,0.46
2712,Cu0.4In1.6Se2.6,1.32
2713,ZnSnAs2,0.65
2714,BaS,3.88
2715,Cu2In4Te7,1.1
2716,PbTe,0.32
2717,K2Au2SnS4,2.75
2718,TlBr,3.4
2719,K3NaSn3Se8,2.2
2720,Rb2CuNbS4,2.64
2721,AgO,1.57
2722,ZnO,3.44
2723,CdS,2.55
2724,Rb2TiCu2S4,2.19
2725,OsSb2,0.3
2726,SbSI,2.02
2727,LiAlB14,1.82
2728,Ba3Sn0.87Bi2.13Se8,0.79
2729,K2CuIn3Se6,1.68
2730,Ce2Te3,1.22
2731,KCd4Ga5Se12,2.16
2732,EuGa2Te4,1.7
2733,PbBr2,3.23
2734,ScN,2.6
